Name	Set	ImageFile	Expansion	CardType

ANS1	general	ANS1.png	basic	Answer
ANS2	general	ANS2.png	basic	Answer
ANS3	general	ANS3.png	basic	Answer
ANS4	general	ANS4.png	basic	Answer
ANS5	general	ANS5.png	basic	Answer
ANS6	general	ANS6.png	basic	Answer
ANS7	general	ANS7.png	basic 	Answer
ANS8	general	ANS8.png	basic	Answer
ANS9	general	ANS9.png	basic	Answer
ANS10	general	ANS10.png	basic	Answer
ANS11	general	ANS11.png	basic	Answer
ANS12	general	ANS12.png	basic	Answer
ANS13	general	ANS13.png	basic	Answer
ANS14	general	ANS14.png	basic	Answer
ANS15	general	ANS15.png	basic	Answer
ANS16	general	ANS16.png	basic	Answer
ANS17	general	ANS17.png	basic	Answer
ANS18	general	ANS18.png	basic	Answer
ANS19	general	ANS19.png	basic	Answer
ANS20	general	ANS20.png	basic	Answer
ANS21	general	ANS21.png	basic	Answer
ANS22	general	ANS22.png	basic	Answer
ANS23	general	ANS23.png	basic	Answer
ANS24	general	ANS24.png	basic	Answer
ANS25	general	ANS25.png	basic	Answer
ANS26	general	ANS26.png	basic	Answer
ANS27	general	ANS27.png	basic	Answer
ANS28	general	ANS28.png	basic	Answer
ANS29	general	ANS29.png	basic	Answer
ANS30	general	ANS30.png	basic	Answer
ANS31	general	ANS31.png	basic	Answer
ANS32	general	ANS32.png	basic	Answer
ANS33	general	ANS33.png	basic	Answer
ANS34	general	ANS34.png	basic	Answer
ANS35	general	ANS35.png	basic	Answer
ANS36	general	ANS36.png	basic	Answer
ANS37	general	ANS37.png	basic	Answer
ANS38	general	ANS38.png	basic	Answer
ANS39	general	ANS39.png	basic	Answer
ANS40	general	ANS40.png	basic	Answer
ANS41	general	ANS41.png	basic	Answer
ANS42	general	ANS42.png	basic	Answer
ANS43	general	ANS43.png	basic	Answer
ANS44	general	ANS44.png	basic	Answer
ANS45	general	ANS45.png	basic	Answer
ANS46	general	ANS46.png	basic	Answer
ANS47	general	ANS47.png	basic	Answer
ANS48	general	ANS48.png	basic	Answer
ANS49	general	ANS49.png	basic	Answer
ANS50	general	ANS50.png	basic	Answer
ANS51	general	ANS51.png	basic	Answer
ANS52	general	ANS52.png	basic	Answer
