Name	Set	ImageFile	CardType
ANS0001	Basic	ANS0001.png	Answer
ANS0002	Basic	ANS0002.png	Answer
ANS0003	Basic	ANS0003.png	Answer
ANS0004	Basic	ANS0004.png	Answer
ANS0005	Basic	ANS0005.png	Answer
ANS0006	Basic	ANS0006.png	Answer
ANS0007	Basic	ANS0007.png	Answer
ANS0008	Basic	ANS0008.png	Answer
ANS0009	Basic	ANS0009.png	Answer
ANS0010	Basic	ANS0010.png	Answer
ANS0011	Basic	ANS0011.png	Answer
ANS0012	Basic	ANS0012.png	Answer
ANS0013	Basic	ANS0013.png	Answer
ANS0014	Basic	ANS0014.png	Answer
ANS0015	Basic	ANS0015.png	Answer
ANS0016	Basic	ANS0016.png	Answer
ANS0017	Basic	ANS0017.png	Answer
ANS0018	Basic	ANS0018.png	Answer
ANS0019	Basic	ANS0019.png	Answer
ANS0020	Basic	ANS0020.png	Answer
ANS0021	Basic	ANS0021.png	Answer
ANS0022	Basic	ANS0022.png	Answer
ANS0023	Basic	ANS0023.png	Answer
ANS0024	Basic	ANS0024.png	Answer
ANS0025	Basic	ANS0025.png	Answer
ANS0026	Basic	ANS0026.png	Answer
ANS0027	Basic	ANS0027.png	Answer
ANS0028	Basic	ANS0028.png	Answer
ANS0029	Basic	ANS0029.png	Answer
ANS0030	Basic	ANS0030.png	Answer
ANS0031	Basic	ANS0031.png	Answer
ANS0032	Basic	ANS0032.png	Answer
ANS0033	Basic	ANS0033.png	Answer
ANS0034	Basic	ANS0034.png	Answer
ANS0035	Basic	ANS0035.png	Answer
ANS0036	Basic	ANS0036.png	Answer
ANS0037	Basic	ANS0037.png	Answer
ANS0038	Basic	ANS0038.png	Answer
ANS0039	Basic	ANS0039.png	Answer
ANS0040	Basic	ANS0040.png	Answer
ANS0041	Basic	ANS0041.png	Answer
ANS0042	Basic	ANS0042.png	Answer
ANS0043	Basic	ANS0043.png	Answer
ANS0044	Basic	ANS0044.png	Answer
ANS0045	Basic	ANS0045.png	Answer
ANS0046	Basic	ANS0046.png	Answer
ANS0047	Basic	ANS0047.png	Answer
ANS0048	Basic	ANS0048.png	Answer
ANS0049	Basic	ANS0049.png	Answer
ANS0050	Basic	ANS0050.png	Answer
ANS0051	Basic	ANS0051.png	Answer
ANS0052	Basic	ANS0052.png	Answer
ANS0053	Basic	ANS0053.png	Answer
ANS0054	Basic	ANS0054.png	Answer
ANS0055	Basic	ANS0055.png	Answer
ANS0056	Basic	ANS0056.png	Answer
ANS0057	Basic	ANS0057.png	Answer
ANS0058	Basic	ANS0058.png	Answer
ANS0059	Basic	ANS0059.png	Answer
ANS0060	Basic	ANS0060.png	Answer
ANS0061	Basic	ANS0061.png	Answer
ANS0062	Basic	ANS0062.png	Answer
ANS0063	Basic	ANS0063.png	Answer
ANS0064	Basic	ANS0064.png	Answer
ANS0065	Basic	ANS0065.png	Answer
